,price,artist,title,yearCreation,signed,condition,period,movement
159,5.000 USD,Sterling Ruby,Carvings 4 ,2006,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract
160,9.500 USD,Robert Indiana,"Seasons of Hope, Winter",2012,"Signed, dated and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art
161,9.500 USD,Robert Indiana,"Seasons of Hope, Autumn",2012,"Signed, dated and numbered in pencil recto",Excellent condition.,Contemporary,Pop Art
162,3.000 USD,Donald Sultan,"Fruit and Flowers, Calla Lillies",1992,"Initialed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges and where tape is adhered to top corners.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art
163,5.000 USD,Sterling Ruby,Carvings 2,2006,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract
164,3.000 USD,Donald Sultan,"Fruit and Flowers III, Five Pears, a Lemon, and an Egg",1994,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art
165,9.500 USD,Robert Indiana,"Seasons of Hope, Autumn",2012,"Signed, dated and numbered in pencil recto",No obvious signs of damage or wear.,Contemporary,Pop Art
166,3.000 USD,Donald Sultan,"Fruit and Flowers III, Pomegranates",1994,"Initialed, titled, dated and numbered in pencil recto ",Minor nicks and scratches to metal frame.Not examined out of frame.,Post-War,Pop Art
167,5.000 USD,Sterling Ruby,Carvings 3 ,2006,[nan],No obvious signs of damage or wear.Not examined out of frame.,Contemporary,Abstract
168,9.500 USD,Robert Indiana,"Seasons of Hope, Winter",2012,"Signed, dated and numbered on bottom",No obvious signs of damage or wear.Unframed.,Contemporary,Pop Art
169,5.000 USD,Sterling Ruby,Carvings 1,2006,[nan],No obvious signs of wear or damage.Not examined out of frame.,Contemporary,Abstract
170,3.000 USD,Donald Sultan,"Fruit and Flowers III, Two Pears, a Lemon, and an Egg",1994,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art
171,2.000 USD,Richard Bernstein,Candy Darling,1968,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
172,3.000 USD,Richard Bernstein,Ruby,1977,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art
173,5.000 USD,Richard Bernstein,Iggy Pop,1970,Signed by artist,The work is in excellent condition.,Contemporary,Pop Art
174,1.500 USD,Richard Bernstein,Mick Jagger Newspaper,1969,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
175,4.000 USD,Richard Bernstein,Muse (Pat Cleveland),1975,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
176,6.000 USD,Richard Bernstein,Picasso Pixels,1998,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art
177,4.000 USD,Richard Bernstein,Nude Beatles,1968,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
178,3.000 USD,Richard Bernstein,Diamond,1977,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art
179,6.000 USD,Allan Sekula,Abandoned Dover Marine Station,1996-2003,[nan],Good overall condition.Not examined out of frame.,Contemporary,Realism
180,10.000 USD,Hossein Edalatkhah,Belle Watling (Pink Whores) ,2021,Signed and dated on the reverse,The work is in excellent condition.,Contemporary,Expressionism
181,12.500 USD,Hossein Edalatkhah,Dancing Shadows,2018,Signed and dated bottom right,The work is in excellent condition.,Contemporary,Organic/Biomorphic Abstraction
182,4.375 USD,Hossein Edalatkhah,Entitled,2020,Signed on the reverse,The work is in excellent condition.,Contemporary,Expressionism
183,4.375 USD,Hossein Edalatkhah,Entitled the Second,2020,Signed on the reverse,The work is in excellent condition.,Contemporary,Expressionism
184,4.375 USD,Hossein Edalatkhah,Shahmaran,2020,Signed on the reverse,This work is in excellent condition.,Contemporary,Expressionism
185,10.000 USD,Hossein Edalatkhah,Pandora’s Garden,2019,Signed and dated on the reverse,The work is in excellent condition.,Contemporary,Expressionism
186,2.000 USD,Barbara Morgan,"Martha Graham,  Ekstasis",1935,"Embossed signature, title, and date in pencil in the margin.","This print, on paper with an eggshell surface, is in generally excellent condition. There is a very faint handling crease visible only in high raking light at the center right. The work is offered unframed.",Modern,Performance Art
187,1.000 USD,Barbara Morgan,"Martha Graham, Ekstasis ",1935,"Embossed signature, title, and date in pencil in the margin.","This print, on paper with an eggshell surface, is in generally excellent condition. There are faint gray adhesions that are slightly tacky in the upper left margin. The work is offered unframed.",Modern,Performance Art
188,2.000 USD,Barbara Morgan,"Martha Graham, Satyric Festival Song",1940,"Embossed signature, date, and annotation ‘Martha Graham’ in pencil in the margin.","This print, on paper with an eggshell surface, is in generally excellent condition. There are adhesive remnants on the mount. On the reverse of the mount, the following is written in pencil in an unidentified hand: ‘Photographed by Barbara Morgan / Martha Graham, Satyric Festival Song 1940.'",Modern,Performance Art
189,3.000 USD,JOHN GIBSON,Small Ball,2003,"Signed, dated and numbered in pencil on recto",Good overall condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Realism
190,5.000 USD,Robert  Motherwell,Blue Gesture (Octavior Paz),1988,Signed and numbered in pencil lower right,Good overall condition.Not examined out of frame.Sheet undulation.,Post-War,Abstract Expressionism
191,3.600 USD,Ferdinand Bassot,Pretty in Pink,Late 19th Century ,Signed F Bassot lower right ,"The canvas is relined. Very fine pigment separation in the greens in left half of composition and in her hair. Small spot of discoloration on the figure's forehead. Under UV light, there is fine craquelure filling in the figure's hair above her forehead and to surrounding green background; two lines of vertical inpainting along stretcher bar, concentrated on her proper left arm and on the dress, continuing on her proper right hand; possible repaired tear circa 3 inches at lower center.",19th Century,Realism
192,19.200 USD,Carl (Christian Edvard Otto) Carlsen,A Forest Walk in Autumn,1892,Signed and dated Carl. Carlsen./ 1892 lower right ,"The canvas is unlined. The paint surface is in good condition with thick impasto except for very fine pigment separation on the central figure's coat and on the tree trunk at right, in a small area. Under UV light, no evidence of inpainting.",19th Century,Impressionism
193,4.000 USD,Eric Fischl,"Two Bathers, Black and White",2007,Signed E Fischl lower right verso; numbered 33/98 lower left verso,Not examined out of frame.Overall very good condition.,Contemporary,Expressionism
194,2.250 USD,"Patrick Caulfield, R.A.",For John Constable,1976,Signed and numbered lower right,"Very good overall condition.Not examined out of frame.Frame with occasional minor marks, nicks and scratches.",Post-War,Pop Art
195,1.000 USD,John Bankston,The Inventor ,2012,"Signed, titled and dated John Bankston The Inventory, 2012 verso; marked Acrylic on canvas verso",Overall very good condition.,Contemporary,Pop Art
196,15.000 USD,Ansel Adams,"Fresh Snow, Yosemite Valley, California ",1947,Signed lower right recto,Water stain or smudge on mat on top left corner.Not examined out of frame.No obvious signs of wear to art.,Post-War,Realism
197,10.000 USD,William Wegman,"'Letters, Numbers, Punctuation'",1993,"Each signed, dated, editioned '22/26,' and numbered or lettered sequentially in pencil on the reverse.",This portfolio composed of 44 gelatin silver prints is in generally excellent condition. The edges of each sheet bow upward slightly. The cloth clamshell box is very slightly soiled at the corners and edges.,Contemporary,Conceptual 
198,3.000 USD,Michael Williams,Untitled (One Fourth Jew),2010,[nan],Overall very good condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Conceptual 
199,28.000 USD,Agnieszka  Pilat,B70 Mother and Child ,2021,Stamped Pilat lower right verso,Overall excellent condition ,Contemporary,Abstract
200,32.000 USD,Agnieszka  Pilat,B70 Multiples,2021,Stamped Pilat lower right verso ,Overall excellent condition,Contemporary,Abstract
201,3.000 USD,Hayal Pozanti,Active Cell,2014,"Signed by artist and numbered, front",Very good condition,Contemporary,Geometric Abstraction
202,8.500 USD,William Wegman,Enframed,1995,"Signed ""Thanks Nancy"" William Wegman on verso",Very good condition,Post-War,Realism
203,15.000 USD,Philip Guston,Rug,1980,"Signed by artist and numbered, recto",Very good condition,Post-War,Social Realism
204,7.500 USD,Allison V. Smith,Refinery Road (one of three),2007,[nan],Very good condition,Contemporary,Realism
205,7.500 USD,Allison V. Smith,Refinery Road (one of three),2007,[nan],Very good condition,Contemporary,Realism
206,3.500 USD,Vernon Fisher,Objects in the Field,1990,"Signed by artist and numbered, recto",Very good condition,Post-War,Conceptual 
207,3.680 USD,Charles Arnoldi,Skylar,2013,"Signed by artist and numbered, recto",Very good condition,Contemporary,Abstract Expressionism
208,7.500 USD,Allison V. Smith,Refinery Road (one of three),2007,[nan],Very good condition,Contemporary,Realism
209,12.000 USD,Victoria Sambunaris,"Untitled (White Trains on Salt Flats, I-80, Great Salt Lake Desert, Utah)",2010,[nan],Very good condition,Contemporary,Realism
210,3.000 USD,Donald Sultan,Black Flowers 1,1996,"Signed by artist and numbered, recto",Very good condition,Post-War,Expressionism
211,5.500 USD,Hung Liu,Migrant Child: with Bunny,2019,"Signed by artist and numbered, recto",Very good condition,Contemporary,Realism
212,3.680 USD,Charles Arnoldi,Walter,2013,"Signed by artist and numbered, recto",Very good condition,Contemporary,Abstract Expressionism
213,13.000 USD,Jim Dine,Cream and Red Robe on a Stone,2010,"Signed by artist and numbered, recto",Very good condition,Contemporary,Pop Art
214,1.840 USD,Hayal Pozanti,A Sacred Canopy,2014,"Signed by artist and numbered, recto",Very good condition,Contemporary,Geometric Abstraction
215,54.000 USD,Mario Schifano,Studio per K Sogno Di F.L.S.,[nan],"signed by artist, front",Very good condition,Post-War,Abstract Expressionism
216,10.000 USD,Biff Elrod,Side Glance Two ,2017,signed verso ,[nan],Contemporary,Pop Art
217,5.000 USD,Mike Reesé,Greed Sweet Like Candy,2021,Signed and titled on the reverse,Excellent condition.,Contemporary,Pop Art
218,5.000 USD,Carlos W. Desrosiers,Creation no. 008,2021,Signed verso,Excellent condition.,Contemporary,Abstract
219,2.500 USD,Louise Donegan,Requin Rouge,2016,Signed recto Accompanied by a certificate of authenticity,Excellent condition.,Contemporary,Pop Art
220,20.000 USD,Tom  Wesselmann,Sunset Nude with Yellow Tulips,2004 - 2006,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
221,25.000 USD,Tom  Wesselmann,Still Life with Blonde and Goldfish,2000,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
222,24.000 USD,Ed  Ruscha,Rusty Signs - Dead End 1,2014,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
223,20.000 USD,Ed  Ruscha,Rusty Signs - Cash for Tools 1,2014,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
224,9.000 USD,Ed  Ruscha,Petro Plots: Laurel Canyon/Ventura Boulevard,2001,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
225,9.000 USD,Ed  Ruscha,Petro Plots: Hollywood/Vine,2001,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
226,15.000 USD,Ed  Ruscha,"New Wood, Old Wood",2007,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
227,18.000 USD,Jorge Pardo,Untitled,2006,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
228,25.000 USD,Louise  Bourgeois,Crochet V,1998,[nan],"The work is in excellent condition, direct from the publisher.",Post-War,Feminist Art 
229,5.000 USD,Mimmo Paladino,California Suite No. 10,2004,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
230,25.000 USD,Louise  Bourgeois,Crochet IV,1998,[nan],"The work is in excellent condition, direct from the publisher.",Post-War,Feminist Art 
231,14.000 USD,John Baldessari,Stonehenge (With Two Persons) Blue,2005,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
232,22.000 USD,John Baldessari,Concrete Couples,2015,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
233,12.000 USD,John Baldessari,BLAH,2018,[nan],"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
234,15.000 USD,Elizabeth Murray,Shack,1994,"Signed mid-work, far right","The work is in excellent condition, direct from the publisher.",Post-War,Abstract
235,9.500 USD,Robert Rauschenberg,Back-up (Ground Rules),1997,Signed lower right,"The work is in excellent condition, direct from the publisher.",Post-War,Conceptual 
236,40.000 USD,Jasper Johns,Untitled,2018,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
237,35.000 USD,Jasper Johns,Regrets,2014,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
238,12.000 USD,Helen Frankenthaler,Causeway,2001,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract
239,15.000 USD,Kiki Smith,Friend,2008,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
240,15.000 USD,Kiki Smith,Fortune,2008,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
241,1.500 USD,Marina Adams,Untitled 2,2018,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
242,7.500 USD,Terry Winters,Fate Map,2013,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
243,2.500 USD,Ed  Ruscha,Bow-Tie Rivet (Bow-Tie Landscapes),2003,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Realism
244,9.000 USD,Martin Puryear,Untitled (State 1),2016,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Minimalism
245,7.960 USD,Carroll  Dunham,Untitled (March_31_2015),2015,Signed on upper right,"The work is in excellent condition, direct from the publisher.",Contemporary,Expressionism
246,15.000 USD,Carmen Herrera,Island,2020,Signed verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction
247,45.000 USD,Christopher Wool,Untitled (Triptych),1998,"Signed, dated and numbered in pencil","The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
248,9.500 USD,Didier Vermeiren,"Lenticular Photographs, Los Angeles Studio, 2008",2008,Signed on certificate attached to back of frame,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
249,3.500 USD,Giuseppe Penone,Brain I,2000,"Signed in pencil at bottom right edge, numbered bottom left","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
250,4.500 USD,Giuseppe Penone,Brain II,2000,"Signed in pencil bottom right edge, numbered bottom left","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
251,21.000 USD,Abelardo Morell,After Hitchcock: Psycho. House. Tent-Camera Image,2018,"Signed and numbered in pen on a label, on verso of Dibond mount","The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
252,4.000 USD,Guillermo Kuitca,Coat Check,2002,"Signed, dated and editioned lower right","The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction
253,35.000 USD,Sam  Francis,Untitled (sfm 83-471),1983,"Signed ""Sam Francis"" in pencil on verso, inscribed ""SFM83-471 25 X 31-1/2"" in pencil on verso","The work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
254,25.000 USD,Elger Esser,Hoquiam,2008,Signed on label,"The work is in excellent condition, direct from the publisher.",Contemporary,Realism
255,7.500 USD,Matthew Brandt,"Box, SN1987A-4420-sm.tif",2019,Signed on label on verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
256,7.500 USD,Matthew Brandt,"Box, Bar-pt1-pl014_sm.jpg",2019,Signed on label on verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
257,22.500 USD,Valérie Belin,White Narcissus in Orange (Colour Wonder),2018,Signed on labels on Dibond on verso,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
258,12.500 USD,Marina Abramović,Chair for the Spirit Chair for Man,1999,Signed in pencil and numbered,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
259,9.500 USD,Yong Jo Ji,Nirvana ,2014,[nan],Overall excellent condition.,Contemporary,Abstract
260,32.000 USD,Mel  Bochner,"Measurement: 41""/22""",1998,"i. signed, titled and dated 1998 on the reverseii. titled on the reverseiii. titled on the reverse",Unframed. In good condition overall.,Contemporary,Conceptual 
261,8.000 USD,Jennifer Bartlett,"Homan-Ji III, 216A",[nan],Signed and dated lower right recto in pencil,Excellent condition. Paper has decked edges. Pinhole in each corner.,Contemporary,Conceptual 
262,12.000 USD,Amedeo Simonetti,The Harem's Cobbler,Late 19th Century ,Signed Amedeo Simonetti and inscribed Roma (lower right),"Watercolor and gouache on card, hinged to a back mat with tape at the edges. There is slight rippling to the card. The surface is in generally good condition, aside from minor surface dirt and dust; some mat staining at the edges; very faint, scattered foxing and a few isolated tiny pin dot accretions; a pin dot loss at center right; and some very fine craquelure to the darker pigments on the man's sleeve at lower right and shadow of the tablecloth. The colors remain fresh. Additional former tape mounts visible verso.Framed in a gold frame with floral motifs and ready to hang in its current state.",19th Century,Traditional
263,48.000 USD,Matt Mullican,Untitled (Cosmology Signs),1991,Signed and dated verso,Excellent condition.,Contemporary,Conceptual 
264,11.000 USD,Antonio Carreno,Allegorical #2,2016,Signed lower right recto,Excellent condition.,Contemporary,Abstract Expressionism
265,11.000 USD,Antonio Carreno,Allegorical,2016,Signed lower right recto,Excellent condition.,Contemporary,Abstract Expressionism
266,40.000 USD,Frank Schroeder,Tales of God,2016,Signed lower left recto,Excellent condition.,Contemporary,Expressionism
267,30.000 USD,Danny Simmons,The Golden Path,2016,Signed verso,Excellent condition.,Contemporary,Abstract Expressionism
268,11.000 USD,Antonio Carreno,Racing Divine,2016,Signed lower right recto,Excellent condition.,Contemporary,Abstract Expressionism
269,30.000 USD,Danny Simmons,Traveling,2016,Signed verso,Excellent condition.,Contemporary,Abstract Expressionism
270,40.000 USD,Frank Schroeder,Endless Summer in the Garden,2016,Signed lower left recto,Excellent condition.,Contemporary,Abstract
271,40.000 USD,Frank Schroeder,1001 Nights,2016,Signed lower left recto,Excellent condition.,Contemporary,Abstract
272,6.000 USD,Mieke Marple,Exotic Garden (Venus Fly Trap),2021,Signed verso,Excellent condition.,Contemporary,Feminist Art 
273,6.000 USD,Mieke Marple,Exotic Garden (Flora),2021,Signed verso,Excellent condition.,Contemporary,Feminist Art 
274,19.000 USD,Henry Gunderson,Neurochamber,2019,Signed verso,Excellent condition.,Contemporary,Realism
275,12.000 USD,Mieke Marple,Bad Feminist (Blue Lace Medusa),2019,Signed verso,Excellent condition.,Contemporary,Feminist Art 
276,20.000 USD,Henry Gunderson,Down So Long It Looks Up,2019,Signed verso,Excellent condition.,Contemporary,Surrealism
277,22.500 USD,Christine Wang,Woman Yacht,2019,Signed verso,Excellent condition.,Contemporary,Realism
278,6.000 USD,Mieke Marple,Erotic Garden (Lily),2021,Signed verso,Excellent condition.,Contemporary,Feminist Art 
279,12.000 USD,Christine Wang,Leo Baby,2020,Signed verso,Excellent condition.,Contemporary,Realism
280,20.000 USD,Henry Gunderson,Scissor Lock,2019,Signed verso,Excellent condition.,Contemporary,Realism
281,8.500 USD,Dimitri Berea,"Untitled, Harbor Scene",1960 - 1969,Signed lower right recto,Not examined out of frame.No obvious signs of wear to art.Small nick and some scratches to the frame.Brown paper verso torn.  ,Post-War,Post-Impressionism
282,5.000 USD,Raymond Cauchetier,"'À bout de souffle' (Belmondo and Seberg, Champs Elysées, Paris)",1959,"Signed, titled and dated in pencil verso",Excellent condition.,Post-War,Realism
283,7.000 USD,Douglas Kirkland,"Audrey Hepburn, Paris",1965,Signed Certificate of Authenticity,Excellent condition.,Post-War,Realism
284,10.000 USD,Michael Kenna,"Ile de La Cite (Merci HCB), Paris, France",1992,"Signed, numbered, and dated in pencil recto; Signed, titled, dated and numbered with photographer's copyright stamp verso",Excellent condition.,Post-War,Realism
285,5.000 USD,Norman Parkinson,Cardin Hat Over Paris,1948,"Signed, stamped, titled and numbered by the Norman Parkinson Archive",Excellent condition.,Post-War,Realism
286,9.500 USD,Frances McLaughlin-Gill,"Fiona Campbell, The Palace at Versailles, Paris",1950,"Signed, dated and titled in pencil verso",Excellent condition.,Post-War,Realism
287,15.000 USD,Horst P. Horst,Dali Costumes - Paris,1939,"Blindstamped on recto; Signed, titled and dated in pencil and with photographer's stamp on verso",Excellent condition.,Modern,Realism
288,8.000 USD,Marc Riboud,"Yves Saint-Laurent, Paris",1964,Signed verso in pencil and with photographer's stamp,Excellent condition.,Post-War,Realism
289,6.000 USD,William Klein,Serge Gainsbourg (Cover for 'Love on the Beat' Album),1984,Signed in ink on the photographer's label on verso,Excellent condition.,Post-War,Realism
290,8.000 USD,Frances McLaughlin-Gill,Dior Black - Paris Collections for Vogue Magazine,1952,"Signed, dated and titled in pencil verso",Excellent condition.,Post-War,Realism
291,6.000 USD,William Klein,"Dorothy + Little Bara, Paris",1960,"Signed, dated and titled in pencil verso",Excellent condition.,Post-War,Realism
292,25.000 USD,George Hoyningen-Huene,"Divers, Paris",1930,"Embossed with photographer's stamp; Signed and inscribed ""From the collection of Horst"" by Horst P. Horst in pencil on verso",[nan],Modern,Realism
293,50.000 USD,Lillian Bassman,"Across the Restaurant at Le Grand Vefour, Barbara Mullen, Harper's Bazaar, Paris [Dress by Jacques Fath]",1949,Signed in pencil verso,Excellent condition.,Post-War,Realism
294,2.700 USD,Russell Young,Bardot,2007,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
295,16.000 USD,Russell Young,Marilyn Crying,2019,"Signed and numbered ""JX"" verso",Excellent condition.,Contemporary,Pop Art
296,15.000 USD,Russell Young,Elizabeth Taylor Portrait,2008,"Signed and numbered ""RY2008"" verso",Excellent condition.,Contemporary,Pop Art
297,22.000 USD,Russell Young,Audrey Hepburn,2019,"Signed and numbered ""FX"" verso",Excellent condition.,Contemporary,Pop Art
298,5.100 USD,Russell Young,Marilyn Hope,2013,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
299,5.100 USD,Russell Young,Marilyn Portrait,2011,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
300,32.000 USD,Russell Young,Kate Moss Diptych,2015,"Signed and numbered ""BII"" verso",Excellent condition.,Contemporary,Pop Art
301,15.000 USD,Russell Young,Elizabeth Taylor,2005,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
302,15.000 USD,Russell Young,Elizabeth Taylor,2005,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
303,15.000 USD,Russell Young,Elizabeth Taylor Portrait,2008,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
304,22.000 USD,Russell Young,Audrey Hepburn,2019,"Signed and numbered ""EX"" verso",Excellent condition.,Contemporary,Pop Art
305,15.000 USD,Russell Young,Elvis,2007,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
306,2.700 USD,Russell Young,Bardot,2007,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
307,16.000 USD,Russell Young,Marilyn Crying,2019,"Signed and numbered ""AX"" verso",Excellent condition.,Contemporary,Pop Art
308,13.000 USD,Russell Young,Elvis Pistol,2011,"Signed and marked ""RY PEACE"" verso",Excellent condition.,Contemporary,Pop Art
309,15.000 USD,Russell Young,Elvis,2007,Signed and numbered verso,Excellent condition.,Contemporary,Pop Art
310,1.295 USD,Aaron Siskind,Chicago 224,Late 20th Century ,[nan],This print is in generally excellent condition.,Post-War,Realism
311,5.995 USD,Harry Callahan,"Skyscraper with Person and Flagpole, New York",1977,Signed in pencil in the margin,"Print is in generally excellent condition.The colors are rich and saturated, with no apparent signs of fading.",Post-War,Realism
312,3.495 USD,Kota Ezawa,The Melody of Destiny,2008,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Conceptual 
313,3.495 USD,Kota Ezawa,Conical Intersect (After Gordon Matta-Clark 1975),2005,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism
314,9.995 USD,Sze Tsung Leong,"Lincoln Center, New York",2003,Signed in ink on the photographer's label on the reverse,"This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Contemporary,Realism
315,3.995 USD,Kota Ezawa,Earth from Moon (After NASA 1969),2006,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism
316,3.995 USD,After Kota Ezawa,The Bohemians (After August Sander 1924),2006,[nan],"The transparency and light box are in generally excellent condition.Under close inspection, there are scattered hairline scratches and scuffs to the light box's plexiglass and metal components, none of which detract from its overall fine appearance.The electrical components of the light box are functional.",Contemporary,Realism
317,6.995 USD,Abelardo Morell,Camera Obscura Image of the Brooklyn Bridge in Bedroom,1999,"Signed, titled, dated, and numbered in pencil on the reverse",Print is in generally excellent condition.There is a tiny deposit of original retouching in the lower right corner and a crescent-shaped handling crease in the lower left that is only visible under raking light and does not appear to break the emulsion.,Post-War,Realism
318,2.995 USD,Harry Callahan,"Water Reflections, Bass Rocks, Massachusetts",Circa 1971,Signed in pencil in the margin,Print is generally in excellent condition.The colors are rich and saturated with no apparent fading.,Post-War,Realism
319,8.995 USD,Sze Tsung Leong,"Luohu District, Shenzhen",2008,Signed in ink on the photographer's label on the reverse,"This chromogenic print is in generally excellent condition.The colors are rich and saturated, with no apparent fading.",Contemporary,Realism
320,3.495 USD,Harry Callahan,"Beach and Shells, Horseneck Beach, Massachusetts",1978,Signed in pencil in the margin,Print is in generally excellent condition.The colors are rich and saturated with no apparent fading.,Post-War,Realism
321,3.995 USD,Harry Callahan,"Brown Grass, Horseneck Beach, Massachusetts",Circa 1971,Signed in pencil in the margin,Print is in generally excellent condition.The color appears rich and saturated with no apparent fading.,Post-War,Realism
322,13.500 USD,Charles Green Shaw,Giant Clutch,1965,Signed Charles Shaw and dated 1965 (on the reverse),"This work is unlined.The surface of the work is dirty with scattered pindots of surface accretion.Under UV: Although some pigments read strongly, they appear to be the artist's original.",Post-War,Abstract
323,4.000 USD,John Baldessari,Visionaire 64 Art Blue Edition,2014,Numbered on portfolio case,Screenprints are in excellent condition.,Contemporary,Conceptual 
324,17.000 USD,Charly Palmer,Erasing Memories,2020,Signed verso,Excellent condition.,Contemporary,Expressionism
325,17.000 USD,Charly Palmer,Tar Baby,2012,Signed by artist,Excellent condition.,Contemporary,Expressionism
326,14.000 USD,Lisa Oppenheim,California Wildfire 2010/2012 (Version II),2012,"Signed by the photographer in ink on a Tanya Bonakdar Gallery, New York, label on the reverse of the frame.",This work has not been examined unframed as issued. It appears to be in generally excellent condition. Framed under glass.,Contemporary,Abstract
327,1.250 USD,Devin Troy Strother,Grateful Dead Afro Cat Show,2021,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
328,1.250 USD,Devin Troy Strother,Grateful Dead Afro Cat Show,2021,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
329,9.500 USD,Ludwig Bemelmans,Madeline,First Half 20th Century ,Signed Bemelmans lower right.,Occasional light toning on edges. ,Modern,Art Deco
330,2.000 USD,Jutta Koether,Untitled,1992,Signed and dated lower right rectoInscribed verso,No obvious signs of wear.,Contemporary,Expressionism
331,3.000 USD,James Siena,Spacelock (second version),1999,[nan],Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Geometric Abstraction
332,1.500 USD,Enoc Perez,Untitled,2005,"Signed, dated and inscribed verso",No obvious signs of wear.,Contemporary,Realism
333,1.200 USD,Carter Mull,Untitled (Screen),2006 - 2007,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Abstract Expressionism
